Restoran,Asula,Aadress,Koordinaadid,Latitude,Longitude
Hesburger Tartu Anne,Tartu,"Anne 38, EE-50601 Tartu, Eesti",,58.378156,26.751086
Hesburger Tartu Eedeni keskus,Tartu,"Kalda tee 1c/1d, EE-50703 Tartu, Eesti",,58.373613,26.750666
Hesburger Tartu Kvartal,Tartu,"Riia 2, EE-51004 Tartu",,58.376523,26.72883
Hesburger Tartu Lõunakeskus,Tartu,"Lääneringtee 39, EE-50501 Tartu, Lõunakeskus",,58.357677,26.677553
Hesburger Tartu Ringtee Drive-in,Tartu,"Lääneringtee 12, EE-50407 Tartu, Eesti",,58.37563,26.678861
Hesburger Tartu Vabaduse,Tartu,"Vabaduse pst 3, EE-51004 Tartu, Eesti",,58.380793,26.725174
Hesburger Tartu Veeriku,Tartu,"Vitamiini 1, EE-51014 Tartu",,58.376072,26.696668
Hesburger Võru,Võru,"Jüri 83, EE-65607 Võru maakond, Eesti",,57.835098,27.010202
Hesburger Valga Rimi,Valga,"Riia mnt. 18, EE-68203 Valga, Eesti",,57.777985,26.027714
Hesburger Viljandi,Viljandi,"Tallinna tn 41, EE-71020 Viljandi, Eesti",,58.369265,25.59745
Hesburger Pärnu Maxima,Pärnu,"Maxima Kaubakeskus Pärnu, Riia mnt.131, EE-80024 Pärnu, Eesti",,58.375092,24.53669
Hesburger Pärnu Kaubamajakas,Pärnu,"Papiniidu 8, EE-80010 Pärnu, Eesti",,58.370032,24.550771
Hesburger Pärnu Niidu Drive,Pärnu,"Pärnu Niidu 9/1, EE-80047 Pärnu, Eesti",,58.393268,24.540026
Hesburger Pärnu Port Artur,Pärnu,"Hommiku 2, EE-80010 Pärnu, Eesti",,58.386253,24.503037
Hesburger Kuressaare Auriga keskuses,Kuressaare,"Auriga Keskus, Tallinna 88, Kuressaare, 93851 Saare maakond",,58.26561,22.515288
Hesburger Haapsalu,Haapsalu,"Jaama 32, EE-90507 Haapsalu, Eesti",,58.939081,23.540823
Hesburger Rapla,Rapla,"Rappeli Keskus, Tallinna mnt 4, EE-79511 Rapla",,59.010148,24.793407
Hesburger Paide Drive-in,Paide,"Raudtee 29, EE-72715 Paide, Eesti",,58.886567,25.541933
Hesburger Keila Selver,Keila,"Piiri 12, EE-76610 Keila, Eesti",,59.313401,24.421447
Hesburger Luige Drive-in,Luige,"Viljandi mnt 164, Luige alevik, Kiili vald, 75412",,59.326496,24.771866
