,Abja-Paluoja,Antsla,Elva,Haapsalu,Jõgeva,Jõhvi,Kallaste,Karksi-Nuia,Kehra,Keila,Kilingi-Nõmme,Kiviõli,Kohtla-Järve,Kunda,Kuressaare,Kärdla,Lihula,Loksa,Maardu,Mustvee,Mõisaküla,Narva-Jõesuu,Narva,Otepää,Paide,Paldiski,Põltsamaa,Põlva,Pärnu,Püssi,Rakvere,Rapla,Räpina,Saue,Sillamäe,Sindi,Suure-Jaani,Tallinn,Tamsalu,Tapa,Tartu,Tõrva,Türi,Valga,Viljandi,Võhma,Võru
Abja-Paluoja,0.0,98855.63,86283.57,177437.05,113577.2,217793.66,157687.27,13034.63,176809.06,177751.58,25430.61,206512.84,230628.75,211626.61,223769.58,230740.75,126014.21,212847.67,196860.78,149271.34,12170.04,260655.66,267632.19,89010.13,104391.09,200777.88,83574.77,131625.77,66164.45,213590.58,170030.44,142831.69,160571.94,178908.7,241180.77,68446.95,60468.24,192183.3,150660.28,156893.94,111444.76,43390.5,93947.74,72506.24,34896.12,67168.29,122928.53
Antsla,93066.48,0.0,55677.05,270444.56,131768.61,210748.63,128642.66,80334.2,231393.89,259988.77,118438.15,217811.39,223583.72,232802.36,316777.13,323748.28,219021.75,258639.28,251445.59,140352.64,105177.58,253610.63,260587.16,33531.22,166894.97,282289.69,123433.36,54604.91,159171.98,217756.8,204632.14,208454.39,77029.79,252820.94,234135.75,161454.48,126090.94,246768.13,189568.61,211478.75,81872.77,49745.22,159570.44,37012.43,104651.35,132790.98,33881.37
Elva,86308.5,55704.88,0.0,276448.19,77150.48,156130.52,74001.27,73576.23,176890.0,205484.89,111680.17,163193.28,168965.61,178184.25,310019.16,301358.5,212263.77,204021.16,196941.72,85734.52,98419.61,198992.5,205969.03,22734.46,112391.09,227785.8,68929.48,53985.56,152414.0,163138.69,150014.02,168147.95,78822.9,198317.05,179517.63,146480.92,89139.16,192264.23,134950.48,156974.88,27254.66,42987.25,119264.01,61038.57,67602.76,92484.55,65140.54
Haapsalu,176517.39,275314.09,275588.78,0.0,237043.97,265290.66,297179.59,189493.08,130350.87,75693.75,152085.92,232313.88,258397.94,209859.39,158020.09,57385.33,52714.17,169019.69,120519.8,272738.13,170215.95,305245.38,312221.91,296129.47,174341.47,74879.39,208295.44,311857.5,110126.59,239391.61,199278.53,91451.78,336694.81,83986.94,285770.5,123908.72,159646.89,100867.84,204375.92,194030.14,266042.19,219848.95,140879.16,248964.69,185792.48,170319.59,333563.0
Jõgeva,113625.79,133219.14,76815.88,237870.91,0.0,106896.57,62815.74,111839.37,116772.9,166907.61,128794.39,113246.73,119731.66,104934.55,307782.63,294525.72,195866.28,130771.46,154165.63,38374.26,125736.9,149758.56,156735.09,93790.15,73813.8,189208.52,30400.11,99989.76,153543.75,110774.58,76764.33,126844.88,110660.35,159739.77,130283.69,142887.34,80194.82,153686.95,61700.8,83418.62,50295.23,118026.39,77960.92,136077.7,78880.3,65529.99,121695.27
Jõhvi,217718.16,214513.05,158109.78,265809.34,106986.73,0.0,96908.55,215931.72,143542.2,194846.05,232886.75,32882.5,13212.76,61005.7,384098.91,322464.19,278793.0,129294.77,152688.94,70096.62,229829.27,43239.66,50216.18,175084.05,154666.7,217146.95,134492.47,172682.97,248256.39,29479.73,69449.78,213309.02,184764.08,187678.2,23764.78,237599.98,184287.19,168849.47,100891.39,100663.41,131589.14,199320.3,167137.41,217371.61,182972.66,169622.34,202989.17
Kallaste,160522.52,128637.22,75990.76,297905.91,62929.36,96901.88,0.0,147790.25,176475.89,226942.59,188829.39,103964.65,109736.98,125162.81,367817.59,354560.72,255901.27,162228.45,185622.63,26505.9,172633.63,139763.88,146740.41,95015.14,133848.8,249243.5,90435.11,77427.29,213578.75,103910.05,98972.29,186879.86,89508.41,219774.77,120289.0,202922.33,140229.81,201783.14,102800.54,129407.79,49470.11,117201.27,137995.92,135252.59,138915.3,125564.98,104551.9
Karksi-Nuia,13090.8,86179.53,73607.48,190468.91,111696.09,215912.55,145515.27,0.0,174927.95,203522.84,38462.48,204631.73,228747.64,209745.5,236801.45,243772.63,139046.08,210966.56,194979.67,147390.25,25201.91,258774.55,265751.06,76334.04,102509.98,225823.75,81693.67,118949.66,79196.31,211709.47,168149.34,140950.59,147895.84,196355.02,239299.67,81478.81,58587.13,190302.19,148779.17,155012.83,98768.66,30714.4,92066.64,59830.14,33015.02,65287.19,110252.44
Kehra,176933.73,231552.48,177024.5,130718.55,116768.58,142915.63,175325.84,175147.31,0.0,59755.25,192224.86,109938.84,136022.91,87484.35,249008.11,187373.38,143702.19,46644.65,29100.56,150884.38,189044.84,182870.33,189846.84,197565.17,75777.18,82056.16,109731.16,213293.2,160691.08,117016.56,76903.49,70464.41,238130.53,52587.42,163395.45,158710.47,127266.73,45261.09,69871.2,56936.13,167477.89,190658.84,88247.89,223134.88,143375.14,112601.89,234998.72
Keila,177392.89,259233.97,204705.98,75678.75,166161.19,194407.88,226296.81,202828.8,59468.07,0.0,152961.42,161431.08,187515.16,138976.61,198253.41,132333.58,92947.49,98136.91,49637.01,201855.34,171091.45,234362.58,241339.09,225246.66,103458.67,23956.06,137412.66,240974.7,111818.46,168508.81,128395.74,52104.75,265812.03,9171.15,214887.7,120837.64,154948.22,25059.81,133493.13,123147.35,195159.38,218340.33,115929.38,250816.38,171056.64,140283.39,262680.22
Kilingi-Nõmme,25395.91,124192.6,111620.55,152988.53,129026.26,233242.72,179209.92,38371.59,192088.03,153303.06,0.0,221791.81,248560.13,226905.58,199321.06,206292.23,101565.7,228126.64,190993.05,164720.42,19094.47,276104.72,283081.25,114347.1,119670.06,176329.36,99023.84,156962.73,41715.93,228869.55,185309.41,126460.29,185908.91,154460.19,256629.84,43998.43,61358.65,171341.09,165939.25,172172.91,133671.06,68727.47,109226.71,97843.21,50175.09,82447.26,148265.5
Kiviõli,206576.23,221555.5,165152.23,232748.41,113350.26,32854.63,103951.0,204789.81,110481.27,161785.11,221867.36,0.0,25961.91,36187.59,351037.97,289403.25,245732.05,96233.84,119628.0,77139.06,218687.34,72809.34,79785.86,182126.5,120868.08,184086.02,134209.72,179725.42,214457.78,7308.64,36388.84,180248.08,191806.53,154617.28,53334.46,203801.38,156909.23,135788.53,67092.77,67602.47,138631.58,206362.73,133338.8,224414.06,173017.64,142244.39,210031.63
Kohtla-Järve,230054.05,226848.95,170445.67,258939.67,119322.63,12935.87,109244.45,228267.63,136672.55,187976.38,245222.66,26012.83,0.0,54136.03,377229.25,315594.5,271923.31,122425.1,145819.27,82432.52,242165.16,52890.57,59867.09,187419.95,147797.03,210277.28,146828.38,185018.88,241386.73,22610.06,62580.11,206439.34,197099.98,180808.55,33415.69,230730.31,183838.17,161979.8,94021.72,93793.74,143925.03,211656.19,160267.73,229707.52,195308.56,169173.34,215325.08
Kunda,211997.81,232477.3,176074.03,210317.19,103105.93,60938.29,125540.56,210211.39,88050.06,139353.89,227288.94,41352.43,54045.57,0.0,328606.75,266972.03,223300.84,73802.63,97196.78,101099.09,224108.92,100892.99,107869.52,193048.3,110840.81,161654.8,123965.39,199247.91,204430.52,40524.23,26441.92,157816.86,213396.09,132186.06,81418.12,193774.09,162330.81,113357.31,56848.44,65677.63,149553.38,216130.23,123311.52,235335.86,178439.23,147665.97,220953.42
