,Abja-Paluoja,Antsla,Elva,Haapsalu,Jõgeva,Jõhvi,Kallaste,Karksi-Nuia,Kehra,Keila,Kilingi-Nõmme,Kiviõli,Kohtla-Järve,Kunda,Kuressaare,Kärdla,Lihula,Loksa,Maardu,Mustvee,Mõisaküla,Narva-Jõesuu,Narva,Otepää,Paide,Paldiski,Põltsamaa,Põlva,Pärnu,Püssi,Rakvere,Rapla,Räpina,Saue,Sillamäe,Sindi,Suure-Jaani,Tallinn,Tamsalu,Tapa,Tartu,Tõrva,Türi,Valga,Viljandi,Võhma,Võru
Abja-Paluoja,0.0,5704.74,4760.02,9151.59,6804.3,11965.38,9428.01,774.47,8800.11,9262.32,1517.34,11773.91,12842.8,11366.54,13632.46,16125.2,6716.02,10935.67,9394.16,8608.17,719.98,14445.27,14882.55,4915.85,5890.22,10670.71,4796.09,7250.01,3565.41,12226.46,9691.7,7888.78,9101.8,9076.04,13418.23,3654.39,3498.83,9761.17,8475.98,8457.09,6433.77,2479.2,5230.2,4062.22,2237.54,3826.88,7154.54
Antsla,5678.62,0.0,3765.85,14808.99,7601.13,11160.97,7610.42,4984.05,11897.58,12615.72,7174.75,11886.2,12038.39,13021.53,19289.87,21782.6,12373.43,13667.51,12491.62,7781.85,6377.39,13640.86,14078.14,2281.61,9335.84,13909.25,7027.95,3157.52,9222.81,11873.61,11159.5,11522.54,4668.93,12258.92,12613.82,9311.79,7132.59,12858.64,10582.8,11554.56,4721.98,3206.81,8863.96,2556.15,5885.37,7460.64,2119.5
Elva,4768.36,3767.61,0.0,13031.27,4816.47,8376.31,4956.23,4073.79,8858.63,9576.78,6264.49,9101.54,9253.72,10236.87,18379.61,20204.86,11463.17,10882.84,9452.67,4997.18,5467.13,10856.2,11293.48,1616.39,6296.89,10870.3,3989.0,3394.09,8312.55,9088.94,8374.84,8925.5,4646.12,9219.97,9829.16,8238.96,4686.49,9819.69,7798.14,8515.61,1937.31,2296.55,6266.92,3210.39,3854.36,4863.6,3779.98
Haapsalu,9187.67,14871.19,12974.36,0.0,11065.49,12162.39,13961.98,9940.92,6627.09,4263.12,7934.69,10695.03,11820.01,9631.65,9945.0,7490.48,2696.77,7870.24,6036.2,12869.36,8930.45,14276.42,14713.7,13998.7,7551.48,4350.52,9178.83,14590.08,5730.98,11147.59,9054.09,4941.7,15842.1,4334.26,13249.38,6648.0,8710.09,6031.29,9589.31,8841.79,12167.65,11645.65,7482.73,13228.68,9980.8,9173.92,15316.5
Jõgeva,6822.45,7587.93,4847.46,11094.32,0.0,5615.92,3351.32,6430.83,6742.67,7639.82,7403.25,6237.76,6493.33,6017.58,18295.91,18432.5,11159.67,6663.56,7482.51,2258.71,7521.22,8095.81,8533.09,5538.58,4359.94,8933.35,2067.9,6116.52,8493.78,6275.5,4155.55,7341.04,6716.38,7283.01,7068.77,7773.39,4662.58,7882.73,3578.85,4888.71,3063.2,6839.19,4682.46,7753.02,4792.89,3924.35,6842.93
Jõhvi,11975.19,11163.12,8422.65,12225.57,5629.61,0.0,4795.59,11583.57,7039.4,8771.08,12555.98,2035.89,924.29,3406.04,19924.39,19563.75,12676.15,6170.83,6989.78,3654.15,12673.96,2526.76,2964.04,9113.77,8436.34,10064.6,7220.64,9373.95,13585.96,1732.43,3857.35,10125.2,9732.08,8414.27,1499.72,12865.57,9815.32,8478.6,5730.82,5883.54,6638.39,10414.37,9298.3,11328.21,9945.63,9077.09,10418.12
Kallaste,9464.71,7607.38,5001.17,13980.41,3362.97,4785.63,0.0,8770.13,9038.61,10525.92,10289.34,5510.86,5663.05,6982.38,21182.01,21318.6,14045.77,8170.04,8988.99,1406.51,10163.47,7265.52,7702.8,5630.71,7246.03,11819.45,4954.0,5242.37,11379.88,5498.26,5292.88,10227.14,5600.5,10169.11,6238.48,10659.49,7548.68,10477.82,6118.24,7125.98,3216.91,6992.9,7568.56,7906.73,7678.99,6810.45,6814.71
Karksi-Nuia,780.62,5016.32,4071.59,9910.99,6405.45,11566.53,8764.26,0.0,8401.26,9119.41,2276.74,11375.06,12443.95,10967.69,14391.87,16884.6,7475.43,10536.82,8995.31,8209.32,1479.39,14046.42,14483.7,4227.43,5491.37,10412.93,4397.24,6561.59,4324.81,11827.62,9292.86,7489.93,8413.38,8762.6,13019.38,4413.79,3099.98,9362.32,8077.13,8058.24,5745.34,1790.77,4831.35,3373.8,1838.69,3428.03,6466.12
Kehra,8837.78,11932.55,8900.67,6704.94,6744.09,6938.53,8907.17,8446.16,0.0,3250.45,9261.58,5471.17,6596.15,4407.79,14403.76,14043.12,7155.53,2646.38,1705.61,7814.55,9536.54,9052.56,9489.84,9925.01,3477.79,4543.98,5105.14,10516.39,8306.88,5923.73,3830.23,4286.28,11768.41,2893.64,8025.52,7907.03,6060.12,3194.44,4340.29,3457.52,8093.96,9697.81,4339.76,11151.7,6770.0,5321.89,11242.81
Keila,9301.14,12552.39,9520.51,4249.42,7611.64,8708.54,10508.13,9066.0,3173.24,0.0,8048.15,7241.18,8366.17,6177.8,11963.5,11587.6,4715.27,4416.39,2582.35,9415.51,9043.92,10822.57,11259.85,10544.86,4097.63,1525.92,5724.98,11136.23,6056.49,7693.74,5600.24,3080.84,12388.25,688.23,9795.53,6259.39,6679.96,2271.36,6135.46,5387.94,8713.8,10317.65,4959.6,11771.54,7389.84,5941.73,11862.65
Kilingi-Nõmme,1519.11,7202.64,6257.92,7899.2,7366.04,12527.12,10216.92,2272.37,9222.44,8009.93,0.0,12196.24,13399.05,11788.87,12380.08,14872.81,5463.64,11358.0,9525.6,9169.91,1261.89,15007.01,15444.29,6413.75,6312.55,9418.33,5357.83,8747.91,2313.02,12648.8,10114.04,6761.45,10599.7,7823.65,13979.97,2402.0,3648.82,9520.69,8898.31,8879.42,7252.96,3977.09,5652.53,5560.12,2659.87,4249.21,8652.44
Kiviõli,11789.36,11886.57,9146.1,10741.57,6265.99,2019.95,5519.04,11397.74,5555.4,7287.07,12213.16,0.0,1677.58,2616.3,18440.38,18079.75,11192.15,4686.83,5505.78,4377.6,12488.13,4133.98,4571.26,9837.22,6867.69,8580.6,7489.93,10097.4,12017.32,636.53,2373.35,8641.2,10455.53,6930.26,3106.94,11296.92,9011.7,6994.6,4162.17,4399.54,7361.84,11137.82,7729.65,12051.66,9721.58,8273.47,11141.57
Kohtla-Järve,12790.42,11978.35,9237.88,11866.02,6444.84,897.96,5610.81,12398.8,6679.85,8411.53,13371.21,1676.34,0.0,3046.49,19564.84,19204.2,12316.61,5811.28,6630.23,4469.37,13489.18,3011.99,3449.26,9929.0,8076.79,9705.06,8035.87,10189.18,13226.42,1372.88,3497.81,9765.66,10547.31,8054.72,1984.95,12506.03,10220.8,8119.06,5371.27,5524.0,7453.62,11229.6,8938.75,12143.44,10760.86,9482.57,11233.35
Kunda,11450.45,13024.78,10284.31,9698.09,6033.74,3389.99,7032.82,11058.83,4511.92,6243.6,11874.25,2618.97,3047.62,0.0,17396.91,17036.27,10148.67,3643.35,4462.3,5940.2,12149.22,5504.02,5941.3,10975.43,6059.61,7537.12,7257.68,11553.37,11209.23,2419.41,1900.59,7597.72,11969.31,5886.79,4476.98,10488.84,8672.79,5951.13,3929.92,3430.47,8500.05,12239.8,6921.57,13189.87,9382.67,7934.56,12279.78
Kuressaare,13664.58,19348.11,18403.39,9941.04,18321.98,19833.22,21218.47,14417.84,14297.93,11946.45,12411.6,18365.87,19490.85,17302.49,0.0,16914.65,7562.32,15541.08,13707.04,20125.85,13407.37,21947.25,22384.53,18559.22,15039.96,12568.17,16435.33,20893.38,10207.9,18818.43,16724.93,11602.33,22745.17,12005.09,20920.21,11124.92,14339.58,13702.13,17260.15,16512.63,19398.43,16122.57,14129.56,17705.59,14805.34,15047.32,20797.91
Kärdla,16181.01,21864.54,20237.71,7515.49,18416.23,19513.12,21312.71,16934.27,13977.83,11613.86,14928.03,18045.77,19170.75,16982.39,16938.34,0.0,9690.11,15220.98,13386.94,20220.1,15923.79,21627.15,22064.43,21075.65,14902.22,11701.25,16529.57,21940.82,12724.32,18498.33,16404.83,12292.43,23192.84,11684.99,20600.12,13641.34,15703.43,13382.03,16940.05,16192.53,19518.38,18638.99,14833.47,20222.02,16974.14,16411.17,22667.23
Lihula,6751.93,12435.45,11490.73,2696.59,11195.02,12588.77,14091.5,7505.18,7053.48,4702.0,5498.94,11121.42,12246.4,10058.04,7566.1,9670.2,0.0,8296.63,6462.59,12998.89,6494.71,14702.8,15140.08,11646.56,7842.79,5323.72,9308.36,13980.72,3295.24,11573.98,9480.48,4357.88,15832.51,4760.64,13675.76,4212.26,7212.62,6457.68,10015.7,9268.17,12297.17,9209.91,6898.92,10792.93,7892.69,7920.35,13885.25
Loksa,10978.07,13660.08,10919.61,7880.18,6669.04,6177.56,8146.21,10586.45,2694.01,4425.69,11401.87,4710.21,5835.19,3646.83,15578.99,15218.36,8330.76,0.0,2644.39,7053.59,11676.84,8291.59,8728.87,11610.73,5587.23,5719.21,7245.43,12188.67,9482.11,5162.77,3069.26,5779.81,12788.53,4068.88,7264.55,9685.01,8200.41,4133.21,3906.35,2856.96,9135.35,11838.1,6449.19,13291.99,8910.29,7462.18,12915.08
Maardu,9437.98,12532.75,9500.87,6022.29,7497.0,7005.51,8974.16,9046.37,1687.77,2567.79,9615.89,5538.16,6663.14,4474.78,13721.1,13360.47,6472.87,2713.37,0.0,7881.54,10136.75,9119.54,9556.82,10525.22,4078.0,3861.32,5705.35,11116.6,7624.22,5990.72,3897.22,3921.92,12368.62,2210.99,8092.5,7827.12,6660.32,2275.32,4734.3,3684.92,8694.16,10298.01,4939.96,11751.91,7370.21,5922.09,11843.01
Mustvee,8613.91,7801.82,5061.35,12885.77,2268.33,3644.04,1434.29,8222.29,7943.97,9431.28,9194.7,4369.27,4521.46,5887.74,20087.37,20223.95,12951.13,7075.4,7894.35,0.0,9312.68,6123.93,6561.21,5752.47,6151.39,10724.81,3859.36,6012.65,10285.24,4356.68,4198.24,9132.5,6370.78,9074.47,5096.9,9564.84,6454.04,9383.17,5023.6,6031.34,3277.09,7053.08,6473.92,7966.91,6584.35,5715.81,7056.82
Mõisaküla,720.16,6403.69,5458.97,8894.55,7503.25,12664.33,10126.96,1473.42,9499.06,9005.28,1260.3,12472.86,13541.75,12065.48,13375.43,15868.16,6458.99,11634.62,10093.1,9307.12,0.0,15144.22,15581.5,5614.8,6589.17,10413.68,5495.04,7948.96,3308.37,12925.41,10390.65,7756.8,9800.75,8819.0,14117.18,3397.35,4197.77,10460.12,9174.93,9156.04,7132.71,3178.15,5929.15,4761.17,2936.49,4525.83,7853.49
Narva-Jõesuu,14439.48,13627.41,10886.94,14326.33,8093.9,2547.02,7259.88,14047.86,9140.16,10871.84,15020.27,4136.65,3025.05,5506.8,22025.15,21664.51,14776.92,8271.59,9090.54,6118.44,15138.25,0.0,1176.3,11578.06,10537.1,12165.37,9684.93,11838.24,15686.73,3833.19,5958.12,12225.96,12196.37,10515.03,1415.65,14966.34,12279.61,10579.37,7831.58,7984.31,9102.68,12878.67,11399.06,13792.5,12409.92,11541.38,12882.41
Narva,14848.92,14036.85,11296.38,14735.77,8503.34,2956.46,7669.32,14457.3,9549.6,11281.28,15429.71,4546.09,3434.49,5916.24,22434.59,22073.95,15186.36,8681.03,9499.98,6527.88,15547.69,1176.3,0.0,11987.5,10946.54,12574.81,10094.37,12247.68,16096.17,4242.63,6367.56,12635.41,12605.81,10924.47,1825.09,15375.78,12689.05,10988.81,8241.02,8393.75,9512.12,13288.11,11808.5,14201.94,12819.36,11950.82,13291.85
Otepää,4919.23,2281.15,1616.87,14049.6,5547.27,9107.11,5569.88,4224.66,9884.89,10603.04,6415.36,9832.34,9984.53,10967.67,18530.48,21023.21,11614.04,11613.65,10478.93,5727.99,5618.0,11587.0,12024.28,0.0,7323.15,11896.56,5015.26,2450.83,8463.42,9819.74,9105.64,9951.75,4302.62,10246.23,10559.96,8552.4,5712.75,10845.95,8528.94,9541.87,2668.11,2447.42,7293.18,2876.97,4656.75,5889.85,2358.47
Paide,5894.14,9293.03,6261.15,7668.71,4352.28,8393.0,7248.77,5502.52,3496.07,4214.22,6317.94,6847.82,8050.63,6007.22,15049.33,15006.89,7853.87,5576.36,4090.12,6156.15,6592.91,10507.03,10944.31,7285.5,0.0,5507.75,2465.62,7876.88,5247.19,7300.38,4643.3,3619.58,9128.9,3857.41,9479.99,4526.8,3116.48,4457.13,3116.67,3097.77,5454.44,6754.17,959.53,8337.2,3826.36,2378.25,8603.29
Paldiski,10707.48,13861.5,10829.62,4333.7,8920.75,10017.64,11817.23,10375.11,4482.35,1504.0,9454.5,8550.29,9675.27,7486.91,12575.86,11671.88,5327.63,5725.5,3891.46,10724.62,10450.26,12131.67,12568.95,11853.96,5406.74,0.0,7034.09,12445.34,7462.83,9002.85,6909.35,4487.19,13697.36,1997.34,11104.64,7665.73,7989.06,3580.46,7444.57,6697.05,10022.9,11626.75,6268.7,13080.65,8698.95,7250.84,13171.75
Põltsamaa,4794.79,7011.02,3979.14,9228.98,2064.06,7225.14,4960.54,4403.17,5056.34,5774.49,5375.58,7457.85,8102.55,7237.67,16430.58,16567.16,9294.33,7191.9,5650.38,3867.93,5493.56,9705.03,10142.31,5003.48,2494.6,7068.01,0.0,5588.65,6628.44,7884.72,5375.65,5475.71,6840.67,5417.68,8677.99,5908.05,2700.51,6017.4,4732.21,4713.32,3166.21,5022.36,2817.13,6230.17,2765.23,1962.29,6315.06
Põlva,7280.38,3183.37,3412.47,14710.8,6130.64,9361.98,5244.2,6585.81,10538.17,11256.31,8776.5,10087.21,10239.4,11551.03,20891.63,22048.99,13975.19,12197.01,11132.21,5982.86,7979.15,11841.87,12279.15,2477.81,7976.42,12549.84,5681.09,0.0,10824.57,10074.62,9689.01,10957.53,1851.79,10899.5,10814.83,10913.55,7885.66,11499.22,9112.3,10195.15,3251.48,4808.57,8298.96,5209.34,7017.89,7540.84,1607.56
Pärnu,3596.47,9279.99,8335.27,5702.42,8555.42,13613.1,11451.9,4349.72,8178.56,6072.0,2343.48,12067.92,13270.73,11183.12,10183.3,12676.03,3266.86,9421.71,7587.67,10359.29,3339.25,15727.13,16164.41,8491.1,5273.39,7480.39,6668.76,10825.26,0.0,12520.48,9863.4,4930.08,12677.06,5885.72,14700.09,1120.88,4573.02,7582.75,8336.77,8317.88,9330.31,6054.45,4363.0,7637.47,4737.23,5280.75,10729.79
Püssi,12242.28,11873.97,9133.5,11194.48,6296.19,1716.48,5506.44,11850.66,6008.31,7739.99,12666.08,636.53,1374.11,2432.62,18893.3,18532.66,11645.07,5139.74,5958.69,4365.0,12941.05,3830.51,4267.79,9824.62,7320.61,9033.52,7887.22,10084.8,12470.23,0.0,2826.27,9094.12,10442.93,7383.18,2803.48,11749.84,9464.62,7447.52,4615.09,4852.46,7349.24,11125.23,8182.57,12039.06,10174.5,8726.39,11128.97
Rakvere,9668.79,11136.46,8395.99,9137.26,4145.43,3835.69,5302.94,9277.18,3951.09,5682.77,10092.59,2368.34,3493.32,1891.11,16836.08,16475.44,9587.85,3082.52,3901.47,4210.32,10367.56,5949.72,6387.0,9087.11,4635.35,6976.29,5369.37,9665.05,9784.97,2820.9,0.0,7036.89,10239.43,5325.96,4922.68,9064.58,6891.13,5390.3,2041.6,2038.47,6611.73,10351.49,5497.31,11301.55,7601.02,6152.9,10391.46
