,Hesburger Tartu Anne,Hesburger Tartu Eedeni keskus,Hesburger Tartu Kvartal,Hesburger Tartu Lõunakeskus,Hesburger Tartu Ringtee Drive-in,Hesburger Tartu Vabaduse,Hesburger Tartu Veeriku,Hesburger Võru,Hesburger Valga Rimi,Hesburger Viljandi,Hesburger Pärnu Maxima,Hesburger Pärnu Kaubamajakas,Hesburger Pärnu Niidu Drive,Hesburger Pärnu Port Artur,Hesburger Kuressaare Auriga keskuses,Hesburger Haapsalu,Hesburger Rapla,Hesburger Paide Drive-in,Hesburger Keila Selver,Hesburger Luige Drive-in,Hesburger Tallinn Laagri,Hesburger Tallinn Järve,Hesburger Maardu,Hesburger Peetri Selver,Hesburger Tallinn Arsenali keskus,Hesburger Tallinn Lasnamäe Centrum,Hesburger Tallinn Kristiine keskus,Hesburger Tallinn Lasnamäe Smuuli,Hesburger Tallinn Magistral,Hesburger Tallinn Merimetsa Selver,Hesburger Tallinn Mustamäe,Hesburger Tallinn Nautica Keskus,Hesburger Tallinn Nurmenuku,Hesburger Tallinn Rocca Al Mare,Hesburger Tallinn Sikupilli,Hesburger Tallinn Solaris Keskus,Hesburger Tallinn Sõle,Hesburger Tallinn Sõpruse,Hesburger Tallinn T1,Hesburger Tallinn Unibet Arena,Hesburger Tallinn Viru tn.,Hesburger Tallinn Õismäe Maxima,Hesburger Tallinn Ümera,Hesburger Tapa Drive-in,Hesburger Rakvere Põhjakeskus,Hesburger Rakvere Vaala Keskus,Hesburger Kohtla-Järve Vironia Keskus,Hesburger Jõhvi,Hesburger Ahtme Maxima,Hesburger Narva Fama Keskus,Hesburger Narva Juuli,Hesburger Narva Pähklimägi,Abja-Paluoja,Antsla,Elva,Jõgeva,Kallaste,Karksi-Nuia,Kehra,Kilingi-Nõmme,Kiviõli,Kunda,Kärdla,Lihula,Loksa,Mustvee,Mõisaküla,Narva-Jõesuu,Otepää,Paldiski,Põltsamaa,Põlva,Püssi,Räpina,Saue,Sillamäe,Sindi,Suure-Jaani,Tamsalu,Tõrva,Türi,Võhma
Hesburger Tartu Anne,0.0,721.66,1546.95,5524.86,5067.6,1792.73,3680.42,82058.99,105043.05,99902.1,190086.27,189111.75,192456.28,192531.47,370554.0,263102.97,171042.14,121174.86,228632.88,206066.84,211746.05,206391.81,195026.67,201045.83,207468.61,199928.05,206060.73,199861.63,208666.83,207681.67,209393.19,204319.13,211024.81,209787.17,202278.66,204462.97,207364.23,207978.83,201638.11,210581.48,204433.02,210839.38,197736.25,131021.55,139925.59,139108.27,153694.92,157909.13,155650.19,196662.58,197717.61,213549.11,124819.31,90655.73,27939.86,53212.68,54596.85,109572.95,165403.27,153577.56,133889.52,169960.53,321022.72,233576.56,181618.88,70061.76,136351.17,190431.59,54138.38,255332.84,67402.88,52126.57,138880.39,73156.23,219307.86,172060.47,175007.48,111202.05,112209.15,76991.4,113629.43,96024.34
Hesburger Tartu Eedeni keskus,721.66,0.0,1590.08,5441.39,5110.73,1835.86,3723.55,81519.84,104949.53,99808.59,189992.73,189018.23,192362.75,192437.95,370460.47,263601.25,171540.44,121673.16,229131.17,206565.16,212244.34,206890.11,195524.97,201544.13,207966.91,200426.34,206559.05,200359.92,209165.14,208179.97,209891.48,204817.44,211523.11,210285.47,202776.95,204961.27,207862.53,208477.13,202136.41,211079.78,204931.31,211337.67,198234.55,131519.86,140423.89,139606.56,154297.14,158511.33,156252.41,197264.8,198319.81,214047.41,124725.8,90562.21,27846.34,53710.98,55199.07,109479.42,165901.56,153484.05,134491.72,170562.73,321521.0,234074.86,182117.17,70663.97,136257.66,191033.81,54044.86,255831.14,67901.18,51587.42,139482.59,73318.66,219806.16,172662.69,175505.78,111700.35,112707.45,76897.88,114127.73,96522.64
Hesburger Tartu Kvartal,1546.95,1590.08,0.0,3996.17,3666.54,686.66,2279.36,81239.13,103520.06,98379.13,188563.28,187588.77,190933.3,191008.48,369031.0,262641.47,170580.66,120713.38,228171.39,205605.36,211284.56,205930.31,194565.19,200584.33,207007.11,199466.55,205599.25,199400.14,208205.34,207220.19,208931.7,203857.64,210563.31,209325.69,201817.17,204001.48,206902.75,207517.33,201176.63,210120.0,203971.53,210377.88,197274.77,130560.07,139464.09,138646.77,154838.13,159052.33,156793.39,197805.78,198860.8,213087.61,123296.34,89132.75,26416.88,52751.19,55740.05,108049.96,164941.78,152054.59,135032.7,171103.72,320561.22,233115.06,181157.38,71204.96,134828.19,191574.8,52615.4,254871.34,66941.39,51306.71,140023.58,74609.05,218846.36,173203.67,174545.98,110740.56,111747.66,75468.41,113167.94,95562.85
Hesburger Tartu Lõunakeskus,5524.86,5441.39,3996.17,0.0,2233.81,4304.19,2862.27,80470.02,100118.8,94977.85,185162.02,184187.5,187532.02,187607.22,365629.75,262094.81,170033.98,124252.95,231710.97,209144.94,214824.14,209469.91,198104.77,204123.92,210546.69,203006.13,209138.83,202939.72,211744.92,210759.77,212471.28,207397.22,214102.91,212865.27,205356.75,207541.06,210442.33,211056.91,204716.2,213659.58,207511.11,213917.45,200814.34,134099.66,143003.67,142186.34,158581.23,162795.44,160536.52,201548.91,202603.92,216627.19,119895.06,85731.48,23015.61,56290.77,59483.17,104648.69,168481.36,148653.31,138775.83,174846.84,320014.56,232568.41,184696.97,74948.08,131426.92,195317.92,49214.13,258410.92,66394.73,50537.6,143766.7,76910.95,222385.95,176946.8,174317.72,111686.21,115287.24,72067.14,112621.27,95016.2
Hesburger Tartu Ringtee Drive-in,5067.6,5110.73,3666.54,2233.81,0.0,3298.23,1425.39,82057.88,101992.97,96852.03,187036.19,186061.67,189406.2,189481.39,367503.91,260567.69,168506.86,122816.08,230274.09,207708.06,213387.25,208033.02,196667.88,202687.03,209109.81,201569.25,207701.95,201502.84,210308.05,209322.89,211034.41,205960.34,212666.02,211428.39,203919.86,206104.19,209005.45,209620.03,203279.33,212222.69,206074.23,212480.58,199377.47,132662.77,141566.8,140749.47,157595.06,161809.25,159550.33,200562.72,201617.73,215190.31,121769.24,87605.66,24889.79,54853.89,58496.98,106522.87,167044.48,150527.5,137789.64,173860.66,318487.44,231041.28,183260.08,73961.89,133301.09,194331.73,51088.3,256974.05,64867.6,52125.46,142780.52,78498.81,220949.06,175960.61,176191.91,108666.77,113850.37,73941.32,111094.15,93489.06
Hesburger Tartu Vabaduse,1792.73,1835.86,686.66,4304.19,3298.23,0.0,1911.04,81689.79,103822.38,98681.43,188865.59,187891.08,191235.61,191310.8,369333.31,261969.48,169908.67,120041.39,227499.41,204933.38,210612.58,205258.34,193893.2,199912.36,206335.13,198794.56,204927.27,198728.16,207533.36,206548.2,208259.72,203185.66,209891.34,208653.7,201145.19,203329.5,206230.77,206845.36,200504.64,209448.02,203299.55,209705.89,196602.78,129888.09,138792.11,137974.78,154317.94,158532.14,156273.2,197285.59,198340.63,212415.63,123598.64,89435.06,26719.19,52079.21,55219.87,108352.27,164269.8,152356.89,134512.53,170583.55,319889.25,232443.09,180485.41,70684.77,135130.5,191054.61,52917.71,254199.36,66269.41,51757.37,139503.41,74790.84,218174.39,172683.48,173874.02,110068.58,111075.68,75770.73,112495.95,94890.88
Hesburger Tartu Veeriku,3680.42,3723.55,2279.36,2862.27,1425.39,1911.04,0.0,81481.03,102591.09,97450.14,187634.3,186659.78,190004.31,190079.5,368102.03,263357.0,171296.17,121428.89,228886.91,206320.88,212000.08,206645.84,195280.7,201299.86,207722.63,200182.06,206314.77,200115.66,208920.86,207935.7,209647.22,204573.16,211278.84,210041.2,202532.69,204717.0,207618.27,208232.86,201892.14,210835.52,204687.05,211093.39,197990.28,131275.59,140179.61,139362.28,156207.88,160422.08,158163.14,199175.53,200230.55,213803.13,122367.35,88203.77,25487.89,53466.71,57109.8,107120.98,165657.3,151125.61,136402.45,172473.48,321276.75,233830.59,181872.91,72574.71,133899.22,192944.55,51686.41,255586.86,67656.91,51548.61,141393.34,77921.97,219561.89,174573.42,176790.02,111456.08,112463.18,74539.43,113883.45,96278.38
Hesburger Võru,82058.99,81519.84,81239.13,80470.02,82057.88,81689.79,81481.03,0.0,77442.41,139697.83,195433.66,194459.14,197803.66,197878.86,375901.38,312875.97,252259.75,201727.38,309185.41,286619.38,292298.56,286944.34,275579.19,281598.34,288021.13,280480.56,286613.25,280414.16,289219.34,288234.19,289945.72,284871.66,291577.34,290339.69,282831.19,285015.5,287916.75,288531.34,282190.63,291134.0,284985.53,291391.88,278288.78,211574.08,220478.11,219660.78,226549.2,230763.41,228504.48,269516.88,270571.88,294101.63,130166.7,34810.38,82859.28,133765.2,115455.02,114920.33,245955.78,158924.95,206743.8,242814.81,370795.69,260053.2,262171.41,142916.05,141698.56,263285.88,56432.84,335885.34,147955.41,30225.33,211734.67,49768.95,299860.38,244914.75,197023.23,167117.33,192761.67,82318.67,194181.95,176576.86
Hesburger Valga Rimi,105043.05,104949.53,103520.06,100118.8,101992.97,103822.38,102591.09,77442.41,0.0,87741.03,129650.08,128675.57,132020.09,132095.28,310117.81,255109.95,200302.95,164286.94,247249.97,245748.52,249371.19,253292.98,267048.59,257843.89,259613.23,262751.0,256541.5,260745.59,253823.39,257761.27,255215.75,258400.67,256297.72,258062.86,257681.53,257188.31,257998.06,254883.75,258265.59,257548.72,257539.16,257097.34,261766.45,233706.67,242610.7,241793.38,258099.42,262313.63,260054.7,301067.09,302122.09,248627.03,76496.39,40692.43,77459.77,155897.8,159001.36,61064.9,231140.33,93141.39,238294.02,274365.03,313029.69,194269.64,265381.25,174466.27,75858.06,294836.09,52175.78,280060.13,122316.86,89157.91,243284.89,114468.44,248567.47,276464.97,131239.67,115160.52,214894.27,30361.87,152439.47,125191.17
Hesburger Viljandi,99902.1,99808.59,98379.13,94977.85,96852.03,98681.43,97450.14,139697.83,87741.03,0.0,81880.15,80905.64,84250.16,84325.36,262347.88,185772.92,111727.12,78448.48,158674.14,157172.67,160795.36,164717.14,181210.13,169268.06,171037.41,174175.16,167965.67,172169.75,165247.55,169185.44,166639.92,169824.84,167721.89,169487.02,169105.69,168612.47,169422.23,166307.92,169689.77,168972.88,168963.33,168521.5,175928.0,139244.59,159744.28,160282.33,197210.5,201424.7,199165.77,253405.91,254460.92,160051.2,42019.11,116113.38,74242.33,84881.68,142418.34,38599.45,145301.88,58425.64,177405.08,185103.66,243692.67,146499.7,179542.8,126080.02,54293.48,246270.56,87187.88,184456.94,52014.61,129711.07,182395.97,168930.58,159991.64,226385.27,79958.37,24519.69,127472.53,57379.16,66601.01,39352.71
