,Hesburger Tartu Anne,Hesburger Tartu Eedeni keskus,Hesburger Tartu Kvartal,Hesburger Tartu Lõunakeskus,Hesburger Tartu Ringtee Drive-in,Hesburger Tartu Vabaduse,Hesburger Tartu Veeriku,Hesburger Võru,Hesburger Valga Rimi,Hesburger Viljandi,Hesburger Pärnu Maxima,Hesburger Pärnu Kaubamajakas,Hesburger Pärnu Niidu Drive,Hesburger Pärnu Port Artur,Hesburger Kuressaare Auriga keskuses,Hesburger Haapsalu,Hesburger Rapla,Hesburger Paide Drive-in,Hesburger Keila Selver,Hesburger Luige Drive-in,Hesburger Tallinn Laagri,Hesburger Tallinn Järve,Hesburger Maardu,Hesburger Peetri Selver,Hesburger Tallinn Arsenali keskus,Hesburger Tallinn Lasnamäe Centrum,Hesburger Tallinn Kristiine keskus,Hesburger Tallinn Lasnamäe Smuuli,Hesburger Tallinn Magistral,Hesburger Tallinn Merimetsa Selver,Hesburger Tallinn Mustamäe,Hesburger Tallinn Nautica Keskus,Hesburger Tallinn Nurmenuku,Hesburger Tallinn Rocca Al Mare,Hesburger Tallinn Sikupilli,Hesburger Tallinn Solaris Keskus,Hesburger Tallinn Sõle,Hesburger Tallinn Sõpruse,Hesburger Tallinn T1,Hesburger Tallinn Unibet Arena,Hesburger Tallinn Viru tn.,Hesburger Tallinn Õismäe Maxima,Hesburger Tallinn Ümera,Hesburger Tapa Drive-in,Hesburger Rakvere Põhjakeskus,Hesburger Rakvere Vaala Keskus,Hesburger Kohtla-Järve Vironia Keskus,Hesburger Jõhvi,Hesburger Ahtme Maxima,Hesburger Narva Fama Keskus,Hesburger Narva Juuli,Hesburger Narva Pähklimägi,Abja-Paluoja,Antsla,Elva,Jõgeva,Kallaste,Karksi-Nuia,Kehra,Kilingi-Nõmme,Kiviõli,Kunda,Kärdla,Lihula,Loksa,Mustvee,Mõisaküla,Narva-Jõesuu,Otepää,Paldiski,Põltsamaa,Põlva,Püssi,Räpina,Saue,Sillamäe,Sindi,Suure-Jaani,Tamsalu,Tõrva,Türi,Võhma
Hesburger Tartu Anne,0.0,519.58,1113.77,3977.82,3648.56,1290.72,2649.81,59082.2,75630.72,71929.23,136861.64,136160.0,138568.03,138622.16,266798.34,189433.69,123149.94,87245.6,164615.09,148367.75,152456.61,148601.63,140418.8,144752.56,149376.84,143947.75,148363.2,143899.94,150239.59,149530.22,150762.53,147109.27,151937.25,151046.17,145640.17,147212.83,149301.69,149744.19,145178.98,151618.05,147191.27,151803.75,142369.69,94335.28,100746.16,100157.66,110660.13,113694.36,112067.91,141596.72,142356.34,153754.8,89869.52,65271.85,20116.54,38312.98,39309.63,78892.19,119090.04,110575.42,96400.27,122371.35,221250.47,168174.7,130765.27,50444.34,98172.45,137110.45,38979.42,183838.97,48529.91,37530.95,99993.69,52672.33,157901.11,123883.27,126005.01,80065.2,80790.38,55433.54,81812.93,69137.28
Hesburger Tartu Eedeni keskus,519.58,0.0,1144.84,3917.73,3679.64,1321.8,2680.88,58694.02,75563.4,71861.91,136794.33,136092.67,138500.72,138554.84,266731.03,189792.45,123508.7,87604.35,164973.84,148726.52,152815.38,148960.38,140777.56,145111.33,149735.59,144306.52,148721.95,144258.69,150598.34,149888.98,151121.28,147468.02,152296.0,151404.92,145998.92,147571.58,149660.45,150102.94,145537.75,151976.8,147550.02,152162.5,142728.45,94694.03,101104.91,100516.41,111093.7,114127.94,112501.48,142030.3,142789.92,154113.55,89802.2,65204.54,20049.22,38671.73,39743.21,78824.87,119448.8,110508.11,96833.85,122804.93,221609.22,168533.45,131124.02,50877.92,98105.13,137544.03,38912.11,184197.72,48888.66,37142.78,100427.27,52789.26,158259.86,124316.84,126363.77,80423.95,81149.13,55366.23,82171.68,69496.04
Hesburger Tartu Kvartal,1113.77,1144.84,0.0,2877.2,2639.84,494.38,1641.09,58491.9,74534.21,70832.73,135765.14,135063.48,137471.53,137525.66,265701.84,189101.41,122817.66,86913.32,164282.81,148035.47,152124.34,148269.34,140086.53,144420.3,149044.56,143615.48,148030.92,143567.66,149907.31,149197.95,150430.25,146776.98,151604.97,150713.89,145307.89,146880.55,148969.41,149411.91,144846.72,151285.77,146858.98,151471.47,142037.42,94003.0,100413.88,99825.38,111483.21,114517.45,112890.99,142419.81,143179.42,153422.52,88773.02,64175.35,19020.04,37980.7,40132.72,77795.68,118757.76,109478.92,97223.36,123194.44,220918.19,167842.42,130432.99,51267.43,97075.95,137933.53,37882.91,183506.69,48197.63,36940.66,100816.77,53718.33,157568.83,124706.34,125672.73,79732.92,80458.1,54337.04,81480.65,68805.01
Hesburger Tartu Lõunakeskus,3977.82,3917.73,2877.2,0.0,1608.32,3098.96,2060.8,57938.16,72085.33,68383.84,133316.25,132614.61,135022.64,135076.77,263252.97,188707.81,122424.06,89461.77,166831.25,150583.92,154672.78,150817.78,142634.97,146968.73,151593.02,146163.92,150579.36,146116.09,152455.77,151746.39,152978.7,149325.42,154153.42,153262.34,147856.34,149428.98,151517.86,151960.36,147395.16,153834.22,149407.44,154019.91,144585.86,96551.45,102962.32,102373.83,114178.2,117212.45,115585.99,145114.81,145874.42,155970.97,86324.13,61726.46,16571.15,40529.15,42827.71,75346.8,121306.21,107030.03,99918.36,125889.44,220524.59,167448.83,132981.44,53962.43,94627.06,140628.53,35434.03,186055.14,47804.03,36386.91,103511.77,55375.71,160117.28,127401.34,125508.42,80413.88,83006.55,51888.15,81087.05,68411.41
Hesburger Tartu Ringtee Drive-in,3648.56,3679.64,2639.84,1608.32,0.0,2374.67,1026.26,59081.39,73434.73,69733.24,134665.64,133964.0,136372.05,136426.17,264602.34,187608.31,121324.55,88427.23,165796.72,149549.39,153638.25,149783.25,141600.44,145934.2,150558.47,145129.39,149544.83,145081.56,151421.22,150711.86,151944.16,148290.89,153118.88,152227.8,146821.8,148394.45,150483.33,150925.81,146360.63,152799.67,148372.89,152985.38,143551.33,95516.91,101927.78,101339.29,113468.16,116502.39,114875.95,144404.77,145164.38,154936.42,87673.52,63075.86,17920.55,39494.61,42117.67,76696.2,120271.67,108379.43,99208.3,125179.38,219425.09,166349.31,131946.89,53252.38,95976.46,139918.48,36783.43,185020.59,46704.52,37530.14,102801.72,56518.95,159082.73,126691.3,126857.82,78239.81,81972.01,53237.55,79987.54,67311.9
Hesburger Tartu Vabaduse,1290.72,1321.8,494.38,3098.96,2374.67,0.0,1375.92,58816.36,74751.86,71050.38,135982.78,135281.14,137689.17,137743.3,265919.5,188617.59,122333.85,86429.51,163799.0,147551.66,151640.53,147785.53,139602.72,143936.47,148560.75,143131.66,147547.11,143083.84,149423.5,148714.14,149946.44,146293.17,151121.16,150230.08,144824.08,146396.73,148485.59,148928.09,144362.89,150801.95,146375.17,150987.66,141553.61,93519.19,99930.06,99341.56,111108.69,114142.92,112516.48,142045.28,142804.91,152938.7,88990.66,64393.0,19237.68,37496.89,39758.2,78013.33,118273.95,109696.56,96848.84,122819.91,220434.38,167358.61,129949.18,50892.91,97293.59,137559.02,38100.56,183022.88,47713.82,37265.11,100442.25,53849.23,157085.02,124331.83,125188.92,79249.11,79974.29,54554.69,80996.84,68321.2
Hesburger Tartu Veeriku,2649.81,2680.88,1641.09,2060.8,1026.26,1375.92,0.0,58666.08,73865.34,70163.86,135096.27,134394.63,136802.66,136856.8,265032.97,189616.56,123332.82,87428.48,164797.97,148550.63,152639.5,148784.5,140601.67,144935.44,149559.72,144130.63,148546.08,144082.81,150422.47,149713.11,150945.41,147292.14,152120.13,151229.05,145823.05,147395.7,149484.56,149927.06,145361.86,151800.92,147374.14,151986.63,142552.56,94518.16,100929.03,100340.53,112469.41,115503.64,113877.19,143406.0,144165.63,153937.67,88104.15,63506.48,18351.17,38495.86,41118.91,77126.81,119272.91,108810.05,98209.55,124180.63,221433.34,168357.58,130948.14,52253.63,96407.08,138919.73,37214.05,184021.84,48712.78,37114.84,101802.97,56103.63,158083.98,125692.55,127288.45,80248.07,80973.26,53668.18,81995.8,69320.16
Hesburger Võru,59082.2,58694.02,58491.9,57938.16,59081.39,58816.36,58666.08,0.0,55758.39,100582.14,140711.86,140010.22,142418.25,142472.38,270648.56,225270.14,181626.53,145243.14,222612.63,206365.3,210454.16,206599.16,198416.34,202750.11,207374.38,201945.3,206360.73,201897.47,208237.13,207527.77,208760.06,205106.8,209934.78,209043.7,203637.7,205210.36,207299.23,207741.72,203176.53,209615.59,205188.8,209801.28,200367.23,152332.81,158743.69,158155.19,163299.02,166333.25,164706.8,194235.61,194995.22,211752.33,93719.73,25063.42,59658.5,96310.52,83311.35,82742.41,177087.58,114425.64,149039.16,175010.23,257086.91,187237.78,188762.8,103083.23,102022.67,189749.33,40631.52,241836.5,106527.45,21762.11,152632.58,35833.52,215898.66,176522.14,141856.34,120324.15,138787.92,59269.29,139810.47,127134.82
Hesburger Valga Rimi,75630.72,75563.4,74534.21,72085.33,73434.73,74751.86,73865.34,55758.39,0.0,63173.32,93347.88,92646.24,95054.28,95108.41,223284.59,183678.77,144217.72,118286.23,178019.45,176938.42,179546.7,182370.36,192274.42,185647.02,186920.84,189180.05,184709.25,187736.17,182752.23,185587.45,183754.69,186047.8,184533.75,185804.58,185530.09,185174.92,185757.94,183515.67,185950.63,185434.44,185427.53,185109.45,188471.34,168268.31,174679.19,174090.69,185831.11,188865.34,187238.89,216767.7,217527.33,179010.91,55077.32,29298.47,55770.91,112246.02,114480.62,43966.64,166420.63,67061.67,171571.25,197542.33,215495.55,139873.81,191074.03,125615.33,54617.71,212281.44,37566.46,201642.86,88067.95,64193.53,175164.67,82417.08,178968.03,199054.25,94492.38,82915.34,154723.41,21860.47,109756.1,90137.38
Hesburger Viljandi,71929.23,71861.91,70832.73,68383.84,69733.24,71050.38,70163.86,100582.14,63173.32,0.0,58953.59,58251.94,60659.98,60714.11,188890.3,133756.19,80443.26,56482.72,114244.98,113163.96,115772.24,118595.89,130470.91,121872.55,123146.38,125405.58,120934.78,123961.71,118977.77,121812.98,119980.22,122273.34,120759.29,122030.12,121755.63,121400.46,121983.47,119741.21,122176.16,121659.97,121653.07,121334.99,126667.83,100255.83,115015.57,115402.93,141991.25,145025.48,143399.03,182451.84,183211.47,115236.44,30253.58,83601.38,53454.3,61114.63,102540.93,27791.45,104617.11,42066.35,127731.4,133274.2,165572.95,105479.51,129270.51,90777.34,39091.11,177314.39,62775.05,132808.53,37450.41,93391.62,131324.81,121629.66,115193.56,162997.03,57569.9,17654.08,91779.98,41312.86,47952.58,28333.87
Hesburger Pärnu Maxima,136861.64,136794.33,135765.14,133316.25,134665.64,135982.78,135096.27,140711.86,93347.88,58953.59,0.0,827.25,2961.74,1822.19,129998.38,90562.66,76814.2,72168.59,98421.35,106539.55,107652.03,110475.69,126324.24,113752.34,115026.16,117285.37,112814.57,115841.5,110857.55,113692.78,111860.01,114153.13,112639.08,113909.91,113635.42,113280.25,113863.26,111621.0,114055.95,113539.76,113532.86,113214.78,118760.63,115941.7,130701.45,131088.8,174888.45,177922.69,177909.28,216962.09,217721.7,107116.23,47578.23,122646.36,116923.97,108833.16,150259.45,58140.78,120008.82,27325.35,158571.22,148960.08,122379.45,46587.59,144662.22,138495.88,38912.64,213014.89,116868.78,108526.76,85168.95,148880.19,162164.64,167103.75,99446.96,198697.53,7580.03,59205.71,107465.84,81442.57,63631.45,65434.58
